true_id,true_label,true_support_single_parent,argmax_correct,argmax_accuracy,rank,confused_with_id,confused_with_label,count,fraction_of_true_class
house,House,728,514,0.7060439560439561,1,techno,Techno,46,0.06318681318681318
house,House,728,514,0.7060439560439561,2,trance,Trance,30,0.04120879120879121
house,House,728,514,0.7060439560439561,3,electro,Electro,29,0.03983516483516483
techno,Techno,297,201,0.6767676767676768,1,house,House,36,0.12121212121212122
techno,Techno,297,201,0.6767676767676768,2,trance,Trance,14,0.04713804713804714
techno,Techno,297,201,0.6767676767676768,3,hardcore,Hardcore,11,0.037037037037037035
electro,Electro,176,90,0.5113636363636364,1,house,House,28,0.1590909090909091
electro,Electro,176,90,0.5113636363636364,2,techno,Techno,10,0.056818181818181816
electro,Electro,176,90,0.5113636363636364,3,amapiano,Amapiano,8,0.045454545454545456
trance,Trance,440,355,0.8068181818181818,1,techno,Techno,22,0.05
trance,Trance,440,355,0.8068181818181818,2,house,House,18,0.04090909090909091
trance,Trance,440,355,0.8068181818181818,3,breakbeat,Breakbeat,16,0.03636363636363636
drum_and_bass,Drum & Bass,489,415,0.8486707566462167,1,dubstep,Dubstep,28,0.05725971370143149
drum_and_bass,Drum & Bass,489,415,0.8486707566462167,2,hardcore,Hardcore,11,0.022494887525562373
drum_and_bass,Drum & Bass,489,415,0.8486707566462167,3,breakbeat,Breakbeat,6,0.012269938650306749
footwork,Footwork,22,10,0.45454545454545453,1,dubstep,Dubstep,4,0.18181818181818182
footwork,Footwork,22,10,0.45454545454545453,2,house,House,2,0.09090909090909091
footwork,Footwork,22,10,0.45454545454545453,3,electro,Electro,2,0.09090909090909091
dubstep,Dubstep,296,196,0.6621621621621622,1,trap_edm,Trap (EDM),27,0.09121621621621621
dubstep,Dubstep,296,196,0.6621621621621622,2,house,House,17,0.057432432432432436
dubstep,Dubstep,296,196,0.6621621621621622,3,drum_and_bass,Drum & Bass,12,0.04054054054054054
future_bass,Future Bass,54,6,0.1111111111111111,1,dubstep,Dubstep,21,0.3888888888888889
future_bass,Future Bass,54,6,0.1111111111111111,2,trap_edm,Trap (EDM),10,0.18518518518518517
future_bass,Future Bass,54,6,0.1111111111111111,3,electro,Electro,4,0.07407407407407407
trap_edm,Trap (EDM),145,77,0.5310344827586206,1,dubstep,Dubstep,27,0.18620689655172415
trap_edm,Trap (EDM),145,77,0.5310344827586206,2,electro,Electro,7,0.04827586206896552
trap_edm,Trap (EDM),145,77,0.5310344827586206,3,drum_and_bass,Drum & Bass,7,0.04827586206896552
phonk,Phonk,51,35,0.6862745098039216,1,trap_edm,Trap (EDM),6,0.11764705882352941
phonk,Phonk,51,35,0.6862745098039216,2,house,House,5,0.09803921568627451
phonk,Phonk,51,35,0.6862745098039216,3,techno,Techno,1,0.0196078431372549
midtempo,Midtempo,101,31,0.3069306930693069,1,trap_edm,Trap (EDM),16,0.15841584158415842
midtempo,Midtempo,101,31,0.3069306930693069,2,dubstep,Dubstep,13,0.12871287128712872
midtempo,Midtempo,101,31,0.3069306930693069,3,house,House,11,0.10891089108910891
breakbeat,Breakbeat,109,54,0.4954128440366973,1,house,House,11,0.10091743119266056
breakbeat,Breakbeat,109,54,0.4954128440366973,2,drum_and_bass,Drum & Bass,11,0.10091743119266056
breakbeat,Breakbeat,109,54,0.4954128440366973,3,dubstep,Dubstep,6,0.05504587155963303
uk_garage,UK Garage,90,38,0.4222222222222222,1,house,House,14,0.15555555555555556
uk_garage,UK Garage,90,38,0.4222222222222222,2,dubstep,Dubstep,11,0.12222222222222222
uk_garage,UK Garage,90,38,0.4222222222222222,3,drum_and_bass,Drum & Bass,6,0.06666666666666667
hardcore,Hardcore,267,207,0.7752808988764045,1,drum_and_bass,Drum & Bass,16,0.0599250936329588
hardcore,Hardcore,267,207,0.7752808988764045,2,hardstyle,Hardstyle,15,0.056179775280898875
hardcore,Hardcore,267,207,0.7752808988764045,3,techno,Techno,9,0.033707865168539325
hardstyle,Hardstyle,112,89,0.7946428571428571,1,hardcore,Hardcore,12,0.10714285714285714
hardstyle,Hardstyle,112,89,0.7946428571428571,2,drum_and_bass,Drum & Bass,3,0.026785714285714284
hardstyle,Hardstyle,112,89,0.7946428571428571,3,house,House,2,0.017857142857142856
moombahton,Moombahton,157,105,0.6687898089171974,1,electro,Electro,14,0.08917197452229299
moombahton,Moombahton,157,105,0.6687898089171974,2,house,House,8,0.050955414012738856
moombahton,Moombahton,157,105,0.6687898089171974,3,dubstep,Dubstep,7,0.044585987261146494
amapiano,Amapiano,81,54,0.6666666666666666,1,house,House,9,0.1111111111111111
amapiano,Amapiano,81,54,0.6666666666666666,2,dubstep,Dubstep,6,0.07407407407407407
amapiano,Amapiano,81,54,0.6666666666666666,3,electro,Electro,5,0.06172839506172839
nu_disco,Nu-Disco,120,73,0.6083333333333333,1,house,House,26,0.21666666666666667
nu_disco,Nu-Disco,120,73,0.6083333333333333,2,electro,Electro,6,0.05
nu_disco,Nu-Disco,120,73,0.6083333333333333,3,synthwave,Synthwave,6,0.05
synthwave,Synthwave,126,70,0.5555555555555556,1,dubstep,Dubstep,13,0.10317460317460317
synthwave,Synthwave,126,70,0.5555555555555556,2,house,House,9,0.07142857142857142
synthwave,Synthwave,126,70,0.5555555555555556,3,techno,Techno,6,0.047619047619047616
