true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave,other
house,House,500,36,21,27,2,8,12,6,9,11,1,10,18,0,3,8,12,26,13,5
techno,Techno,34,181,11,24,7,0,3,1,4,2,2,2,2,12,3,1,2,1,3,2
electro,Electro,15,14,75,3,1,10,9,5,4,3,0,6,3,1,0,10,5,5,6,1
trance,Trance,11,18,6,359,4,0,5,0,4,0,0,19,1,3,1,3,0,2,4,0
drum_and_bass,Drum & Bass,4,3,2,0,410,3,24,5,5,4,3,7,0,9,0,4,2,1,0,3
footwork,Footwork,1,0,0,1,0,11,3,0,2,1,0,0,1,0,0,1,1,0,0,0
dubstep,Dubstep,11,6,6,5,12,2,191,6,24,4,0,1,8,0,6,3,1,0,9,1
future_bass,Future Bass,2,0,2,0,1,1,15,9,11,4,2,0,1,1,0,3,0,0,0,2
trap_edm,Trap (EDM),1,0,5,2,6,1,38,3,69,2,4,3,3,2,1,2,1,0,1,1
phonk,Phonk,6,0,0,0,0,0,1,0,5,37,1,0,0,1,0,0,0,0,0,0
midtempo,Midtempo,9,0,2,2,14,0,16,2,13,0,27,0,0,0,0,10,0,0,5,1
breakbeat,Breakbeat,5,1,2,2,12,0,10,1,1,0,1,59,7,2,0,1,1,2,2,0
uk_garage,UK Garage,10,4,3,1,7,1,11,1,2,1,0,1,38,0,0,2,5,1,2,0
hardcore,Hardcore,1,9,1,4,18,1,2,1,6,0,0,1,1,194,20,0,0,1,1,6
hardstyle,Hardstyle,1,2,0,1,1,0,2,0,2,0,0,0,0,9,90,0,0,0,0,4
moombahton,Moombahton,6,6,11,2,4,3,6,0,1,2,0,0,2,0,0,107,6,0,0,1
amapiano,Amapiano,5,0,3,0,0,1,5,0,1,0,0,0,1,0,0,4,57,3,1,0
nu_disco,Nu-Disco,19,0,4,4,0,0,1,1,2,0,2,1,0,0,0,0,1,72,11,2
synthwave,Synthwave,8,4,1,3,1,0,15,3,2,2,4,3,0,0,0,1,1,3,74,1
other,Other,33,7,12,1,15,1,21,3,14,3,0,10,8,8,8,7,4,3,1,2
