true_id,true_label,support,correct,accuracy,rank,confused_with_id,confused_with_label,count,fraction_of_true_class
house,House,728,500,0.6868131868131868,1,techno,Techno,36,0.04945054945054945
house,House,728,500,0.6868131868131868,2,trance,Trance,27,0.03708791208791209
house,House,728,500,0.6868131868131868,3,nu_disco,Nu-Disco,26,0.03571428571428571
techno,Techno,297,181,0.6094276094276094,1,house,House,34,0.11447811447811448
techno,Techno,297,181,0.6094276094276094,2,trance,Trance,24,0.08080808080808081
techno,Techno,297,181,0.6094276094276094,3,hardcore,Hardcore,12,0.04040404040404041
electro,Electro,176,75,0.42613636363636365,1,house,House,15,0.08522727272727272
electro,Electro,176,75,0.42613636363636365,2,techno,Techno,14,0.07954545454545454
electro,Electro,176,75,0.42613636363636365,3,footwork,Footwork,10,0.056818181818181816
trance,Trance,440,359,0.8159090909090909,1,breakbeat,Breakbeat,19,0.04318181818181818
trance,Trance,440,359,0.8159090909090909,2,techno,Techno,18,0.04090909090909091
trance,Trance,440,359,0.8159090909090909,3,house,House,11,0.025
drum_and_bass,Drum & Bass,489,410,0.8384458077709611,1,dubstep,Dubstep,24,0.049079754601226995
drum_and_bass,Drum & Bass,489,410,0.8384458077709611,2,hardcore,Hardcore,9,0.018404907975460124
drum_and_bass,Drum & Bass,489,410,0.8384458077709611,3,breakbeat,Breakbeat,7,0.014314928425357873
footwork,Footwork,22,11,0.5,1,dubstep,Dubstep,3,0.13636363636363635
footwork,Footwork,22,11,0.5,2,trap_edm,Trap (EDM),2,0.09090909090909091
footwork,Footwork,22,11,0.5,3,house,House,1,0.045454545454545456
dubstep,Dubstep,296,191,0.6452702702702703,1,trap_edm,Trap (EDM),24,0.08108108108108109
dubstep,Dubstep,296,191,0.6452702702702703,2,drum_and_bass,Drum & Bass,12,0.04054054054054054
dubstep,Dubstep,296,191,0.6452702702702703,3,house,House,11,0.037162162162162164
future_bass,Future Bass,54,9,0.16666666666666666,1,dubstep,Dubstep,15,0.2777777777777778
future_bass,Future Bass,54,9,0.16666666666666666,2,trap_edm,Trap (EDM),11,0.2037037037037037
future_bass,Future Bass,54,9,0.16666666666666666,3,phonk,Phonk,4,0.07407407407407407
trap_edm,Trap (EDM),145,69,0.47586206896551725,1,dubstep,Dubstep,38,0.2620689655172414
trap_edm,Trap (EDM),145,69,0.47586206896551725,2,drum_and_bass,Drum & Bass,6,0.041379310344827586
trap_edm,Trap (EDM),145,69,0.47586206896551725,3,electro,Electro,5,0.034482758620689655
phonk,Phonk,51,37,0.7254901960784313,1,house,House,6,0.11764705882352941
phonk,Phonk,51,37,0.7254901960784313,2,trap_edm,Trap (EDM),5,0.09803921568627451
phonk,Phonk,51,37,0.7254901960784313,3,dubstep,Dubstep,1,0.0196078431372549
midtempo,Midtempo,101,27,0.26732673267326734,1,dubstep,Dubstep,16,0.15841584158415842
midtempo,Midtempo,101,27,0.26732673267326734,2,drum_and_bass,Drum & Bass,14,0.13861386138613863
midtempo,Midtempo,101,27,0.26732673267326734,3,trap_edm,Trap (EDM),13,0.12871287128712872
breakbeat,Breakbeat,109,59,0.5412844036697247,1,drum_and_bass,Drum & Bass,12,0.11009174311926606
breakbeat,Breakbeat,109,59,0.5412844036697247,2,dubstep,Dubstep,10,0.09174311926605505
breakbeat,Breakbeat,109,59,0.5412844036697247,3,uk_garage,UK Garage,7,0.06422018348623854
uk_garage,UK Garage,90,38,0.4222222222222222,1,dubstep,Dubstep,11,0.12222222222222222
uk_garage,UK Garage,90,38,0.4222222222222222,2,house,House,10,0.1111111111111111
uk_garage,UK Garage,90,38,0.4222222222222222,3,drum_and_bass,Drum & Bass,7,0.07777777777777778
hardcore,Hardcore,267,194,0.7265917602996255,1,hardstyle,Hardstyle,20,0.0749063670411985
hardcore,Hardcore,267,194,0.7265917602996255,2,drum_and_bass,Drum & Bass,18,0.06741573033707865
hardcore,Hardcore,267,194,0.7265917602996255,3,techno,Techno,9,0.033707865168539325
hardstyle,Hardstyle,112,90,0.8035714285714286,1,hardcore,Hardcore,9,0.08035714285714286
hardstyle,Hardstyle,112,90,0.8035714285714286,2,other,Other,4,0.03571428571428571
hardstyle,Hardstyle,112,90,0.8035714285714286,3,techno,Techno,2,0.017857142857142856
moombahton,Moombahton,157,107,0.6815286624203821,1,electro,Electro,11,0.07006369426751592
moombahton,Moombahton,157,107,0.6815286624203821,2,house,House,6,0.03821656050955414
moombahton,Moombahton,157,107,0.6815286624203821,3,techno,Techno,6,0.03821656050955414
amapiano,Amapiano,81,57,0.7037037037037037,1,house,House,5,0.06172839506172839
amapiano,Amapiano,81,57,0.7037037037037037,2,dubstep,Dubstep,5,0.06172839506172839
amapiano,Amapiano,81,57,0.7037037037037037,3,moombahton,Moombahton,4,0.04938271604938271
nu_disco,Nu-Disco,120,72,0.6,1,house,House,19,0.15833333333333333
nu_disco,Nu-Disco,120,72,0.6,2,synthwave,Synthwave,11,0.09166666666666666
nu_disco,Nu-Disco,120,72,0.6,3,electro,Electro,4,0.03333333333333333
synthwave,Synthwave,126,74,0.5873015873015873,1,dubstep,Dubstep,15,0.11904761904761904
synthwave,Synthwave,126,74,0.5873015873015873,2,house,House,8,0.06349206349206349
synthwave,Synthwave,126,74,0.5873015873015873,3,techno,Techno,4,0.031746031746031744
other,Other,161,2,0.012422360248447204,1,house,House,33,0.20496894409937888
other,Other,161,2,0.012422360248447204,2,dubstep,Dubstep,21,0.13043478260869565
other,Other,161,2,0.012422360248447204,3,drum_and_bass,Drum & Bass,15,0.09316770186335403
