true_id,true_label,support,correct,accuracy,rank,confused_with_id,confused_with_label,count,fraction_of_true_class
house,House,728,508,0.6978021978021978,1,techno,Techno,53,0.07280219780219781
house,House,728,508,0.6978021978021978,2,trance,Trance,34,0.046703296703296704
house,House,728,508,0.6978021978021978,3,electro,Electro,18,0.024725274725274724
techno,Techno,297,193,0.6498316498316499,1,house,House,36,0.12121212121212122
techno,Techno,297,193,0.6498316498316499,2,trance,Trance,24,0.08080808080808081
techno,Techno,297,193,0.6498316498316499,3,hardcore,Hardcore,10,0.03367003367003367
electro,Electro,176,78,0.4431818181818182,1,house,House,34,0.19318181818181818
electro,Electro,176,78,0.4431818181818182,2,techno,Techno,13,0.07386363636363637
electro,Electro,176,78,0.4431818181818182,3,trap_edm,Trap (EDM),10,0.056818181818181816
trance,Trance,440,355,0.8068181818181818,1,house,House,21,0.04772727272727273
trance,Trance,440,355,0.8068181818181818,2,techno,Techno,21,0.04772727272727273
trance,Trance,440,355,0.8068181818181818,3,breakbeat,Breakbeat,11,0.025
drum_and_bass,Drum & Bass,489,408,0.8343558282208589,1,dubstep,Dubstep,29,0.05930470347648262
drum_and_bass,Drum & Bass,489,408,0.8343558282208589,2,hardcore,Hardcore,14,0.028629856850715747
drum_and_bass,Drum & Bass,489,408,0.8343558282208589,3,house,House,6,0.012269938650306749
footwork,Footwork,22,9,0.4090909090909091,1,dubstep,Dubstep,4,0.18181818181818182
footwork,Footwork,22,9,0.4090909090909091,2,house,House,3,0.13636363636363635
footwork,Footwork,22,9,0.4090909090909091,3,electro,Electro,1,0.045454545454545456
dubstep,Dubstep,296,196,0.6621621621621622,1,trap_edm,Trap (EDM),27,0.09121621621621621
dubstep,Dubstep,296,196,0.6621621621621622,2,house,House,13,0.04391891891891892
dubstep,Dubstep,296,196,0.6621621621621622,3,drum_and_bass,Drum & Bass,11,0.037162162162162164
future_bass,Future Bass,54,8,0.14814814814814814,1,dubstep,Dubstep,17,0.3148148148148148
future_bass,Future Bass,54,8,0.14814814814814814,2,trap_edm,Trap (EDM),11,0.2037037037037037
future_bass,Future Bass,54,8,0.14814814814814814,3,moombahton,Moombahton,4,0.07407407407407407
trap_edm,Trap (EDM),145,77,0.5310344827586206,1,dubstep,Dubstep,30,0.20689655172413793
trap_edm,Trap (EDM),145,77,0.5310344827586206,2,house,House,6,0.041379310344827586
trap_edm,Trap (EDM),145,77,0.5310344827586206,3,electro,Electro,6,0.041379310344827586
phonk,Phonk,51,29,0.5686274509803921,1,house,House,11,0.21568627450980393
phonk,Phonk,51,29,0.5686274509803921,2,trap_edm,Trap (EDM),5,0.09803921568627451
phonk,Phonk,51,29,0.5686274509803921,3,midtempo,Midtempo,4,0.0784313725490196
midtempo,Midtempo,101,27,0.26732673267326734,1,trap_edm,Trap (EDM),19,0.18811881188118812
midtempo,Midtempo,101,27,0.26732673267326734,2,dubstep,Dubstep,15,0.1485148514851485
midtempo,Midtempo,101,27,0.26732673267326734,3,house,House,10,0.09900990099009901
breakbeat,Breakbeat,109,49,0.44954128440366975,1,house,House,13,0.11926605504587157
breakbeat,Breakbeat,109,49,0.44954128440366975,2,drum_and_bass,Drum & Bass,10,0.09174311926605505
breakbeat,Breakbeat,109,49,0.44954128440366975,3,dubstep,Dubstep,9,0.08256880733944955
uk_garage,UK Garage,90,35,0.3888888888888889,1,house,House,18,0.2
uk_garage,UK Garage,90,35,0.3888888888888889,2,dubstep,Dubstep,12,0.13333333333333333
uk_garage,UK Garage,90,35,0.3888888888888889,3,techno,Techno,6,0.06666666666666667
hardcore,Hardcore,267,213,0.797752808988764,1,drum_and_bass,Drum & Bass,19,0.07116104868913857
hardcore,Hardcore,267,213,0.797752808988764,2,techno,Techno,9,0.033707865168539325
hardcore,Hardcore,267,213,0.797752808988764,3,trance,Trance,8,0.0299625468164794
hardstyle,Hardstyle,112,77,0.6875,1,hardcore,Hardcore,18,0.16071428571428573
hardstyle,Hardstyle,112,77,0.6875,2,house,House,4,0.03571428571428571
hardstyle,Hardstyle,112,77,0.6875,3,other,Other,4,0.03571428571428571
moombahton,Moombahton,157,104,0.6624203821656051,1,electro,Electro,11,0.07006369426751592
moombahton,Moombahton,157,104,0.6624203821656051,2,house,House,9,0.05732484076433121
moombahton,Moombahton,157,104,0.6624203821656051,3,techno,Techno,8,0.050955414012738856
amapiano,Amapiano,81,54,0.6666666666666666,1,house,House,7,0.08641975308641975
amapiano,Amapiano,81,54,0.6666666666666666,2,dubstep,Dubstep,7,0.08641975308641975
amapiano,Amapiano,81,54,0.6666666666666666,3,electro,Electro,3,0.037037037037037035
nu_disco,Nu-Disco,120,68,0.5666666666666667,1,house,House,28,0.23333333333333334
nu_disco,Nu-Disco,120,68,0.5666666666666667,2,synthwave,Synthwave,8,0.06666666666666667
nu_disco,Nu-Disco,120,68,0.5666666666666667,3,trance,Trance,5,0.041666666666666664
synthwave,Synthwave,126,70,0.5555555555555556,1,house,House,10,0.07936507936507936
synthwave,Synthwave,126,70,0.5555555555555556,2,techno,Techno,8,0.06349206349206349
synthwave,Synthwave,126,70,0.5555555555555556,3,trance,Trance,8,0.06349206349206349
other,Other,161,0,0.0,1,house,House,31,0.19254658385093168
other,Other,161,0,0.0,2,dubstep,Dubstep,22,0.13664596273291926
other,Other,161,0,0.0,3,electro,Electro,14,0.08695652173913043
