true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave,other
house,House,440,41,6,11,1,3,19,2,2,9,4,6,4,3,4,4,9,23,2,0
techno,Techno,49,180,1,9,7,2,4,0,1,2,4,1,2,5,3,0,0,0,4,0
electro,Electro,33,8,102,0,3,2,14,4,5,4,3,13,5,2,0,2,8,7,3,0
trance,Trance,14,28,3,169,8,0,3,0,0,1,2,4,1,6,1,0,0,4,0,0
drum_and_bass,Drum & Bass,3,3,2,1,268,1,18,0,2,2,1,6,1,11,1,3,1,0,0,0
footwork,Footwork,6,1,4,1,5,12,2,1,1,1,1,0,0,0,0,2,1,0,0,0
dubstep,Dubstep,12,6,4,0,6,2,218,6,5,4,3,2,4,4,0,4,2,1,1,0
future_bass,Future Bass,0,0,6,0,3,2,13,10,6,3,3,0,0,0,0,1,0,0,0,0
trap_edm,Trap (EDM),0,0,8,0,2,0,26,3,42,4,6,1,0,3,2,1,0,0,0,0
phonk,Phonk,2,0,1,0,0,0,1,0,1,20,0,0,0,0,0,1,0,0,0,0
midtempo,Midtempo,3,1,3,0,2,0,6,1,5,4,43,1,1,0,0,2,0,1,1,0
breakbeat,Breakbeat,5,1,1,6,2,0,8,3,3,5,0,35,0,4,0,1,0,0,3,1
uk_garage,UK Garage,19,6,8,1,4,2,20,2,5,1,2,1,47,2,0,3,9,3,2,0
hardcore,Hardcore,2,7,1,1,15,1,3,1,3,1,0,2,1,235,10,1,2,1,1,0
hardstyle,Hardstyle,1,0,0,0,2,0,1,0,2,1,0,0,0,11,64,1,1,0,0,0
moombahton,Moombahton,9,1,4,1,2,0,3,2,1,2,0,1,1,0,0,45,2,0,0,0
amapiano,Amapiano,9,0,3,2,0,0,1,0,0,1,1,0,0,0,0,10,64,0,0,0
nu_disco,Nu-Disco,12,0,6,0,2,0,2,0,0,0,1,1,0,1,0,0,0,48,5,0
synthwave,Synthwave,14,4,5,4,3,0,8,0,2,2,12,3,0,2,0,0,1,7,72,0
other,Other,3,1,0,1,1,0,6,1,2,0,0,0,0,1,4,1,2,0,0,0
