true_id,true_label,support,correct,accuracy,rank,confused_with_id,confused_with_label,count,fraction_of_true_class
house,House,593,440,0.7419898819561551,1,techno,Techno,41,0.06913996627318718
house,House,593,440,0.7419898819561551,2,nu_disco,Nu-Disco,23,0.0387858347386172
house,House,593,440,0.7419898819561551,3,dubstep,Dubstep,19,0.03204047217537943
techno,Techno,274,180,0.656934306569343,1,house,House,49,0.17883211678832117
techno,Techno,274,180,0.656934306569343,2,trance,Trance,9,0.032846715328467155
techno,Techno,274,180,0.656934306569343,3,drum_and_bass,Drum & Bass,7,0.025547445255474453
electro,Electro,218,102,0.46788990825688076,1,house,House,33,0.15137614678899083
electro,Electro,218,102,0.46788990825688076,2,dubstep,Dubstep,14,0.06422018348623854
electro,Electro,218,102,0.46788990825688076,3,breakbeat,Breakbeat,13,0.05963302752293578
trance,Trance,244,169,0.6926229508196722,1,techno,Techno,28,0.11475409836065574
trance,Trance,244,169,0.6926229508196722,2,house,House,14,0.05737704918032787
trance,Trance,244,169,0.6926229508196722,3,drum_and_bass,Drum & Bass,8,0.03278688524590164
drum_and_bass,Drum & Bass,324,268,0.8271604938271605,1,dubstep,Dubstep,18,0.05555555555555555
drum_and_bass,Drum & Bass,324,268,0.8271604938271605,2,hardcore,Hardcore,11,0.033950617283950615
drum_and_bass,Drum & Bass,324,268,0.8271604938271605,3,breakbeat,Breakbeat,6,0.018518518518518517
footwork,Footwork,38,12,0.3157894736842105,1,house,House,6,0.15789473684210525
footwork,Footwork,38,12,0.3157894736842105,2,drum_and_bass,Drum & Bass,5,0.13157894736842105
footwork,Footwork,38,12,0.3157894736842105,3,electro,Electro,4,0.10526315789473684
dubstep,Dubstep,284,218,0.7676056338028169,1,house,House,12,0.04225352112676056
dubstep,Dubstep,284,218,0.7676056338028169,2,techno,Techno,6,0.02112676056338028
dubstep,Dubstep,284,218,0.7676056338028169,3,drum_and_bass,Drum & Bass,6,0.02112676056338028
future_bass,Future Bass,47,10,0.2127659574468085,1,dubstep,Dubstep,13,0.2765957446808511
future_bass,Future Bass,47,10,0.2127659574468085,2,electro,Electro,6,0.1276595744680851
future_bass,Future Bass,47,10,0.2127659574468085,3,trap_edm,Trap (EDM),6,0.1276595744680851
trap_edm,Trap (EDM),98,42,0.42857142857142855,1,dubstep,Dubstep,26,0.2653061224489796
trap_edm,Trap (EDM),98,42,0.42857142857142855,2,electro,Electro,8,0.08163265306122448
trap_edm,Trap (EDM),98,42,0.42857142857142855,3,midtempo,Midtempo,6,0.061224489795918366
phonk,Phonk,26,20,0.7692307692307693,1,house,House,2,0.07692307692307693
phonk,Phonk,26,20,0.7692307692307693,2,electro,Electro,1,0.038461538461538464
phonk,Phonk,26,20,0.7692307692307693,3,dubstep,Dubstep,1,0.038461538461538464
midtempo,Midtempo,74,43,0.581081081081081,1,dubstep,Dubstep,6,0.08108108108108109
midtempo,Midtempo,74,43,0.581081081081081,2,trap_edm,Trap (EDM),5,0.06756756756756757
midtempo,Midtempo,74,43,0.581081081081081,3,phonk,Phonk,4,0.05405405405405406
breakbeat,Breakbeat,78,35,0.44871794871794873,1,dubstep,Dubstep,8,0.10256410256410256
breakbeat,Breakbeat,78,35,0.44871794871794873,2,trance,Trance,6,0.07692307692307693
breakbeat,Breakbeat,78,35,0.44871794871794873,3,house,House,5,0.0641025641025641
uk_garage,UK Garage,137,47,0.34306569343065696,1,dubstep,Dubstep,20,0.145985401459854
uk_garage,UK Garage,137,47,0.34306569343065696,2,house,House,19,0.1386861313868613
uk_garage,UK Garage,137,47,0.34306569343065696,3,amapiano,Amapiano,9,0.06569343065693431
hardcore,Hardcore,288,235,0.8159722222222222,1,drum_and_bass,Drum & Bass,15,0.052083333333333336
hardcore,Hardcore,288,235,0.8159722222222222,2,hardstyle,Hardstyle,10,0.034722222222222224
hardcore,Hardcore,288,235,0.8159722222222222,3,techno,Techno,7,0.024305555555555556
hardstyle,Hardstyle,84,64,0.7619047619047619,1,hardcore,Hardcore,11,0.13095238095238096
hardstyle,Hardstyle,84,64,0.7619047619047619,2,drum_and_bass,Drum & Bass,2,0.023809523809523808
hardstyle,Hardstyle,84,64,0.7619047619047619,3,trap_edm,Trap (EDM),2,0.023809523809523808
moombahton,Moombahton,74,45,0.6081081081081081,1,house,House,9,0.12162162162162163
moombahton,Moombahton,74,45,0.6081081081081081,2,electro,Electro,4,0.05405405405405406
moombahton,Moombahton,74,45,0.6081081081081081,3,dubstep,Dubstep,3,0.04054054054054054
amapiano,Amapiano,91,64,0.7032967032967034,1,moombahton,Moombahton,10,0.10989010989010989
amapiano,Amapiano,91,64,0.7032967032967034,2,house,House,9,0.0989010989010989
amapiano,Amapiano,91,64,0.7032967032967034,3,electro,Electro,3,0.03296703296703297
nu_disco,Nu-Disco,78,48,0.6153846153846154,1,house,House,12,0.15384615384615385
nu_disco,Nu-Disco,78,48,0.6153846153846154,2,electro,Electro,6,0.07692307692307693
nu_disco,Nu-Disco,78,48,0.6153846153846154,3,synthwave,Synthwave,5,0.0641025641025641
synthwave,Synthwave,139,72,0.5179856115107914,1,house,House,14,0.10071942446043165
synthwave,Synthwave,139,72,0.5179856115107914,2,midtempo,Midtempo,12,0.08633093525179857
synthwave,Synthwave,139,72,0.5179856115107914,3,dubstep,Dubstep,8,0.05755395683453238
other,Other,23,0,0.0,1,dubstep,Dubstep,6,0.2608695652173913
other,Other,23,0,0.0,2,hardstyle,Hardstyle,4,0.17391304347826086
other,Other,23,0,0.0,3,house,House,3,0.13043478260869565
