index,id,label,tracks,train,validation,test
0,house,House,204,170,32,2
1,chicago_house,Chicago House,33,18,8,7
2,deep_house,Deep House,51,27,13,11
3,tech_house,Tech House,51,28,12,11
4,progressive_house,Progressive House,49,27,11,11
5,acid_house,Acid House,36,19,9,8
6,electro_house,Electro House,52,29,12,11
7,funky_house,Funky House,45,24,11,10
8,french_house,French House,48,26,11,11
9,disco_house,Disco House,49,27,11,11
10,soulful_house,Soulful House,35,19,8,8
11,garage_house,Garage House,56,32,13,11
12,future_house,Future House,60,37,12,11
13,bass_house,Bass House,54,31,12,11
14,g_house,G-House,47,25,11,11
15,big_room_house,Big Room House,49,27,11,11
16,tropical_house,Tropical House,48,26,11,11
17,slap_house,Slap House,59,35,13,11
18,brazilian_bass,Brazilian Bass,56,32,13,11
19,microhouse,Microhouse,44,23,11,10
20,hard_house,Hard House,36,19,9,8
21,italo_house,Italo House,40,21,10,9
22,latin_house,Latin House,51,29,11,11
23,ghetto_house,Ghetto House,36,19,9,8
24,jackin_house,Jackin' House,4,2,1,1
25,outsider_house,Outsider House,62,50,12,0
26,lo_fi_house,Lo-Fi House,53,30,11,12
27,afro_house,Afro House,50,28,11,11
28,afro_tech,Afro-Tech,6,3,2,1
29,organic_house,Organic House,49,27,11,11
30,melodic_house,Melodic House,57,34,12,11
31,tribal_house,Tribal House,36,19,9,8
32,techno,Techno,116,90,23,3
33,detroit_techno,Detroit Techno,43,23,10,10
34,minimal_techno,Minimal Techno,46,24,11,11
35,industrial_techno,Industrial Techno,58,34,13,11
36,acid_techno,Acid Techno,50,28,11,11
37,dub_techno,Dub Techno,53,30,11,12
38,hard_techno,Hard Techno,60,36,13,11
39,schranz,Schranz,35,19,8,8
40,birmingham_techno,Birmingham Techno,4,2,1,1
41,peak_time_techno,Peak Time Techno,43,23,10,10
42,raw_techno,Raw Techno,22,14,4,4
43,hypnotic_techno,Hypnotic Techno,19,11,4,4
44,bleep_techno,Bleep Techno,2,0,1,1
45,tribal_techno,Tribal Techno,37,20,9,8
