video_id,duration_seconds,window_count,estimated_bpm,center30_start_seconds,center30_end_seconds,energy20_start_seconds,energy20_end_seconds,energy20_mean_score,track_mean_score,energy20_mean_rms,track_mean_rms,energy20_mean_onset,track_mean_onset,energy20_mean_onset_density,track_mean_onset_density
--CL5uH8-bg,170.32,35,117.454,60.0,115.0,90.0,110.0,0.641676,0.486995,0.470085,0.408783,1.458806,1.39837,0.85,0.971429
--by_CaaCPc,131.958,27,143.555,45.0,90.0,50.0,70.0,0.90847,0.502703,0.303429,0.20091,2.657843,2.096296,4.25,2.659259
--k19euTt4c,127.339,26,117.454,45.0,85.0,5.0,25.0,0.765265,0.583566,0.704607,0.62519,1.540361,1.385458,4.05,3.461538
--qb4D1BI-Y,159.427,32,143.555,55.0,105.0,130.0,150.0,0.945481,0.591887,0.384675,0.281051,3.024116,2.146998,4.55,3.675
-0LPzbsiAyA,549.465,110,143.555,190.0,360.0,265.0,285.0,0.870517,0.56144,0.449578,0.425417,1.528608,1.329428,2.45,1.674545
-0lvTBVza-A,227.143,46,143.555,80.0,150.0,85.0,105.0,0.957327,0.55443,0.50342,0.30443,1.990731,1.55361,3.3,1.9
-13P409QN1s,308.997,62,117.454,105.0,205.0,120.0,140.0,0.918353,0.561447,0.401854,0.311165,1.271302,1.211698,2.9,1.812903
-15oU-lNSnc,300.5,61,129.199,105.0,200.0,170.0,190.0,0.914151,0.574508,0.357358,0.294617,3.077631,2.430656,4.0,3.170492
-15y5W9QQBY,342.158,69,86.133,120.0,225.0,105.0,125.0,0.982968,0.57769,0.668251,0.443811,2.983291,2.067569,5.6,3.513043
-1AI--nlSfA,123.815,25,107.666,40.0,85.0,75.0,95.0,0.814148,0.551008,0.469328,0.374845,1.468858,1.37317,4.85,4.064
