true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave
house,House,514,46,29,30,3,5,11,1,8,7,2,9,12,3,3,8,8,20,9
techno,Techno,36,201,10,14,5,0,2,0,1,2,1,2,3,11,4,0,2,0,3
electro,Electro,28,10,90,2,1,3,6,1,6,1,0,4,1,2,0,3,8,7,3
trance,Trance,18,22,6,355,6,0,3,0,2,0,0,16,1,3,0,1,0,3,4
drum_and_bass,Drum & Bass,4,2,5,2,415,2,28,0,2,2,2,6,2,11,1,3,1,1,0
footwork,Footwork,2,0,2,1,0,10,4,0,2,0,0,0,1,0,0,0,0,0,0
dubstep,Dubstep,17,5,8,2,12,0,196,0,27,4,0,2,10,0,4,2,2,0,5
future_bass,Future Bass,3,0,4,0,0,1,21,6,10,1,2,0,1,2,0,3,0,0,0
trap_edm,Trap (EDM),4,1,7,1,7,1,27,1,77,6,5,5,0,1,1,0,1,0,0
phonk,Phonk,5,1,0,0,0,0,1,0,6,35,1,0,0,1,1,0,0,0,0
midtempo,Midtempo,11,2,2,8,8,0,13,1,16,0,31,1,0,0,1,5,0,0,2
breakbeat,Breakbeat,11,2,2,3,11,0,6,0,2,0,1,54,4,3,0,1,2,2,5
uk_garage,UK Garage,14,5,2,1,6,0,11,0,1,0,0,4,38,1,0,1,3,1,2
hardcore,Hardcore,2,9,1,9,16,0,3,1,3,0,0,0,0,207,15,0,0,1,0
hardstyle,Hardstyle,2,1,0,1,3,0,2,0,2,0,0,0,0,12,89,0,0,0,0
moombahton,Moombahton,8,5,14,3,4,1,7,0,1,2,0,0,2,0,0,105,5,0,0
amapiano,Amapiano,9,0,5,1,0,0,6,0,1,0,0,0,2,0,0,1,54,2,0
nu_disco,Nu-Disco,26,0,6,3,0,0,2,0,1,0,2,0,0,1,0,0,0,73,6
synthwave,Synthwave,9,6,1,4,2,0,13,1,1,2,5,5,0,0,0,1,3,3,70
