fraction,train_samples,seed,threshold,macro_f1,micro_f1,evaluation_report
0.25,2855,1337,0.68,0.546771074675573,0.6487929152007764,data/runs/parent_learning_curve/runs/fraction_025/seed_1337/artist_mlp/evaluation_report.json
0.25,2855,2027,0.55,0.5423395583686105,0.6451461439136049,data/runs/parent_learning_curve/runs/fraction_025/seed_2027/artist_mlp/evaluation_report.json
0.25,2855,9001,0.52,0.5409475081482777,0.6453809132527291,data/runs/parent_learning_curve/runs/fraction_025/seed_9001/artist_mlp/evaluation_report.json
0.5,5681,1337,0.5,0.5626716885163857,0.6585928489042676,data/runs/parent_learning_curve/runs/fraction_050/seed_1337/artist_mlp/evaluation_report.json
0.5,5681,2027,0.53,0.5635485548281233,0.6565377532228361,data/runs/parent_learning_curve/runs/fraction_050/seed_2027/artist_mlp/evaluation_report.json
0.5,5681,9001,0.43,0.5481014218653034,0.6400987876066456,data/runs/parent_learning_curve/runs/fraction_050/seed_9001/artist_mlp/evaluation_report.json
0.75,8506,1337,0.62,0.5758447859599337,0.6589110098344927,data/runs/parent_learning_curve/runs/fraction_075/seed_1337/artist_mlp/evaluation_report.json
0.75,8506,2027,0.56,0.5686971255861099,0.6505671423344311,data/runs/parent_learning_curve/runs/fraction_075/seed_2027/artist_mlp/evaluation_report.json
0.75,8506,9001,0.46,0.5689848519410915,0.6518336314847943,data/runs/parent_learning_curve/runs/fraction_075/seed_9001/artist_mlp/evaluation_report.json
1.0,11349,1337,0.5,0.5620628417544902,0.6528559453957611,data/runs/parent_learning_curve/runs/fraction_100/seed_1337/artist_mlp/evaluation_report.json
1.0,11349,2027,0.55,0.5736535988036358,0.6553764064493678,data/runs/parent_learning_curve/runs/fraction_100/seed_2027/artist_mlp/evaluation_report.json
1.0,11349,9001,0.55,0.5659312812597173,0.6454165253758336,data/runs/parent_learning_curve/runs/fraction_100/seed_9001/artist_mlp/evaluation_report.json
