true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave
house,House,520,40,16,29,2,8,7,2,12,9,1,10,20,1,2,2,16,10,21
techno,Techno,36,199,9,12,6,0,2,0,1,3,2,3,4,12,2,1,2,0,3
electro,Electro,19,7,77,3,0,7,5,1,12,2,0,9,4,1,0,10,8,4,7
trance,Trance,13,24,4,346,6,0,1,0,7,0,0,20,1,3,0,2,1,2,10
drum_and_bass,Drum & Bass,4,4,1,0,408,2,13,1,9,4,1,9,7,13,0,6,4,1,2
footwork,Footwork,1,0,0,0,0,15,0,0,2,2,0,0,0,0,0,1,1,0,0
dubstep,Dubstep,14,8,3,0,24,5,145,3,37,5,1,4,21,1,7,2,4,0,12
future_bass,Future Bass,2,0,1,0,0,1,13,3,21,2,2,0,0,2,0,6,0,0,1
trap_edm,Trap (EDM),6,0,2,0,8,1,13,2,91,8,2,2,5,0,2,0,0,0,3
phonk,Phonk,8,1,0,0,1,0,0,0,5,34,1,0,0,1,0,0,0,0,0
midtempo,Midtempo,10,0,0,2,14,1,7,0,19,0,31,0,0,0,0,11,1,0,5
breakbeat,Breakbeat,7,1,1,0,9,0,2,0,4,2,0,59,11,1,0,1,3,2,6
uk_garage,UK Garage,6,5,2,0,2,2,6,1,4,0,0,3,42,1,0,1,12,0,3
hardcore,Hardcore,2,13,0,4,16,0,0,1,7,1,0,0,1,208,13,0,0,1,0
hardstyle,Hardstyle,1,3,0,1,2,0,1,0,1,0,0,0,0,13,90,0,0,0,0
moombahton,Moombahton,9,6,5,2,5,3,6,0,1,2,0,0,2,0,0,102,14,0,0
amapiano,Amapiano,2,0,1,0,0,0,5,0,1,0,0,0,1,0,0,3,65,2,1
nu_disco,Nu-Disco,30,0,1,2,0,0,1,1,2,0,1,1,1,0,0,0,0,65,15
synthwave,Synthwave,10,8,0,0,1,0,6,2,5,2,9,3,0,0,0,1,1,2,76
