true_id,true_label,support,correct,accuracy,rank,confused_with_id,confused_with_label,count,fraction_of_true_class
house,House,728,520,0.7142857142857143,1,techno,Techno,40,0.054945054945054944
house,House,728,520,0.7142857142857143,2,trance,Trance,29,0.03983516483516483
house,House,728,520,0.7142857142857143,3,synthwave,Synthwave,21,0.028846153846153848
techno,Techno,297,199,0.67003367003367,1,house,House,36,0.12121212121212122
techno,Techno,297,199,0.67003367003367,2,trance,Trance,12,0.04040404040404041
techno,Techno,297,199,0.67003367003367,3,hardcore,Hardcore,12,0.04040404040404041
electro,Electro,176,77,0.4375,1,house,House,19,0.10795454545454546
electro,Electro,176,77,0.4375,2,trap_edm,Trap (EDM),12,0.06818181818181818
electro,Electro,176,77,0.4375,3,moombahton,Moombahton,10,0.056818181818181816
trance,Trance,440,346,0.7863636363636364,1,techno,Techno,24,0.05454545454545454
trance,Trance,440,346,0.7863636363636364,2,breakbeat,Breakbeat,20,0.045454545454545456
trance,Trance,440,346,0.7863636363636364,3,house,House,13,0.029545454545454545
drum_and_bass,Drum & Bass,489,408,0.8343558282208589,1,dubstep,Dubstep,13,0.026584867075664622
drum_and_bass,Drum & Bass,489,408,0.8343558282208589,2,hardcore,Hardcore,13,0.026584867075664622
drum_and_bass,Drum & Bass,489,408,0.8343558282208589,3,trap_edm,Trap (EDM),9,0.018404907975460124
footwork,Footwork,22,15,0.6818181818181818,1,trap_edm,Trap (EDM),2,0.09090909090909091
footwork,Footwork,22,15,0.6818181818181818,2,phonk,Phonk,2,0.09090909090909091
footwork,Footwork,22,15,0.6818181818181818,3,house,House,1,0.045454545454545456
dubstep,Dubstep,296,145,0.48986486486486486,1,trap_edm,Trap (EDM),37,0.125
dubstep,Dubstep,296,145,0.48986486486486486,2,drum_and_bass,Drum & Bass,24,0.08108108108108109
dubstep,Dubstep,296,145,0.48986486486486486,3,uk_garage,UK Garage,21,0.07094594594594594
future_bass,Future Bass,54,3,0.05555555555555555,1,trap_edm,Trap (EDM),21,0.3888888888888889
future_bass,Future Bass,54,3,0.05555555555555555,2,dubstep,Dubstep,13,0.24074074074074073
future_bass,Future Bass,54,3,0.05555555555555555,3,moombahton,Moombahton,6,0.1111111111111111
trap_edm,Trap (EDM),145,91,0.6275862068965518,1,dubstep,Dubstep,13,0.0896551724137931
trap_edm,Trap (EDM),145,91,0.6275862068965518,2,drum_and_bass,Drum & Bass,8,0.05517241379310345
trap_edm,Trap (EDM),145,91,0.6275862068965518,3,phonk,Phonk,8,0.05517241379310345
phonk,Phonk,51,34,0.6666666666666666,1,house,House,8,0.1568627450980392
phonk,Phonk,51,34,0.6666666666666666,2,trap_edm,Trap (EDM),5,0.09803921568627451
phonk,Phonk,51,34,0.6666666666666666,3,techno,Techno,1,0.0196078431372549
midtempo,Midtempo,101,31,0.3069306930693069,1,trap_edm,Trap (EDM),19,0.18811881188118812
midtempo,Midtempo,101,31,0.3069306930693069,2,drum_and_bass,Drum & Bass,14,0.13861386138613863
midtempo,Midtempo,101,31,0.3069306930693069,3,moombahton,Moombahton,11,0.10891089108910891
breakbeat,Breakbeat,109,59,0.5412844036697247,1,uk_garage,UK Garage,11,0.10091743119266056
breakbeat,Breakbeat,109,59,0.5412844036697247,2,drum_and_bass,Drum & Bass,9,0.08256880733944955
breakbeat,Breakbeat,109,59,0.5412844036697247,3,house,House,7,0.06422018348623854
uk_garage,UK Garage,90,42,0.4666666666666667,1,amapiano,Amapiano,12,0.13333333333333333
uk_garage,UK Garage,90,42,0.4666666666666667,2,house,House,6,0.06666666666666667
uk_garage,UK Garage,90,42,0.4666666666666667,3,dubstep,Dubstep,6,0.06666666666666667
hardcore,Hardcore,267,208,0.7790262172284644,1,drum_and_bass,Drum & Bass,16,0.0599250936329588
hardcore,Hardcore,267,208,0.7790262172284644,2,techno,Techno,13,0.04868913857677903
hardcore,Hardcore,267,208,0.7790262172284644,3,hardstyle,Hardstyle,13,0.04868913857677903
hardstyle,Hardstyle,112,90,0.8035714285714286,1,hardcore,Hardcore,13,0.11607142857142858
hardstyle,Hardstyle,112,90,0.8035714285714286,2,techno,Techno,3,0.026785714285714284
hardstyle,Hardstyle,112,90,0.8035714285714286,3,drum_and_bass,Drum & Bass,2,0.017857142857142856
moombahton,Moombahton,157,102,0.6496815286624203,1,amapiano,Amapiano,14,0.08917197452229299
moombahton,Moombahton,157,102,0.6496815286624203,2,house,House,9,0.05732484076433121
moombahton,Moombahton,157,102,0.6496815286624203,3,techno,Techno,6,0.03821656050955414
amapiano,Amapiano,81,65,0.8024691358024691,1,dubstep,Dubstep,5,0.06172839506172839
amapiano,Amapiano,81,65,0.8024691358024691,2,moombahton,Moombahton,3,0.037037037037037035
amapiano,Amapiano,81,65,0.8024691358024691,3,house,House,2,0.024691358024691357
nu_disco,Nu-Disco,120,65,0.5416666666666666,1,house,House,30,0.25
nu_disco,Nu-Disco,120,65,0.5416666666666666,2,synthwave,Synthwave,15,0.125
nu_disco,Nu-Disco,120,65,0.5416666666666666,3,trance,Trance,2,0.016666666666666666
synthwave,Synthwave,126,76,0.6031746031746031,1,house,House,10,0.07936507936507936
synthwave,Synthwave,126,76,0.6031746031746031,2,midtempo,Midtempo,9,0.07142857142857142
synthwave,Synthwave,126,76,0.6031746031746031,3,techno,Techno,8,0.06349206349206349
