true_id,true_label,support,correct,accuracy,rank,confused_with_id,confused_with_label,count,fraction_of_true_class
house,House,728,565,0.7760989010989011,1,trance,Trance,36,0.04945054945054945
house,House,728,565,0.7760989010989011,2,techno,Techno,26,0.03571428571428571
house,House,728,565,0.7760989010989011,3,synthwave,Synthwave,15,0.020604395604395604
techno,Techno,297,187,0.6296296296296297,1,house,House,45,0.15151515151515152
techno,Techno,297,187,0.6296296296296297,2,trance,Trance,20,0.06734006734006734
techno,Techno,297,187,0.6296296296296297,3,hardcore,Hardcore,12,0.04040404040404041
electro,Electro,176,75,0.42613636363636365,1,house,House,30,0.17045454545454544
electro,Electro,176,75,0.42613636363636365,2,techno,Techno,16,0.09090909090909091
electro,Electro,176,75,0.42613636363636365,3,breakbeat,Breakbeat,11,0.0625
trance,Trance,440,357,0.8113636363636364,1,breakbeat,Breakbeat,22,0.05
trance,Trance,440,357,0.8113636363636364,2,techno,Techno,20,0.045454545454545456
trance,Trance,440,357,0.8113636363636364,3,house,House,14,0.031818181818181815
drum_and_bass,Drum & Bass,489,405,0.8282208588957055,1,dubstep,Dubstep,28,0.05725971370143149
drum_and_bass,Drum & Bass,489,405,0.8282208588957055,2,hardcore,Hardcore,15,0.03067484662576687
drum_and_bass,Drum & Bass,489,405,0.8282208588957055,3,house,House,6,0.012269938650306749
footwork,Footwork,22,14,0.6363636363636364,1,house,House,2,0.09090909090909091
footwork,Footwork,22,14,0.6363636363636364,2,dubstep,Dubstep,2,0.09090909090909091
footwork,Footwork,22,14,0.6363636363636364,3,trance,Trance,1,0.045454545454545456
dubstep,Dubstep,296,193,0.652027027027027,1,trap_edm,Trap (EDM),40,0.13513513513513514
dubstep,Dubstep,296,193,0.652027027027027,2,drum_and_bass,Drum & Bass,17,0.057432432432432436
dubstep,Dubstep,296,193,0.652027027027027,3,house,House,16,0.05405405405405406
future_bass,Future Bass,54,3,0.05555555555555555,1,dubstep,Dubstep,18,0.3333333333333333
future_bass,Future Bass,54,3,0.05555555555555555,2,trap_edm,Trap (EDM),12,0.2222222222222222
future_bass,Future Bass,54,3,0.05555555555555555,3,midtempo,Midtempo,6,0.1111111111111111
trap_edm,Trap (EDM),145,92,0.6344827586206897,1,dubstep,Dubstep,20,0.13793103448275862
trap_edm,Trap (EDM),145,92,0.6344827586206897,2,electro,Electro,6,0.041379310344827586
trap_edm,Trap (EDM),145,92,0.6344827586206897,3,breakbeat,Breakbeat,6,0.041379310344827586
phonk,Phonk,51,30,0.5882352941176471,1,house,House,12,0.23529411764705882
phonk,Phonk,51,30,0.5882352941176471,2,trap_edm,Trap (EDM),4,0.0784313725490196
phonk,Phonk,51,30,0.5882352941176471,3,midtempo,Midtempo,3,0.058823529411764705
midtempo,Midtempo,101,33,0.32673267326732675,1,dubstep,Dubstep,16,0.15841584158415842
midtempo,Midtempo,101,33,0.32673267326732675,2,house,House,14,0.13861386138613863
midtempo,Midtempo,101,33,0.32673267326732675,3,drum_and_bass,Drum & Bass,12,0.1188118811881188
breakbeat,Breakbeat,109,53,0.48623853211009177,1,dubstep,Dubstep,14,0.12844036697247707
breakbeat,Breakbeat,109,53,0.48623853211009177,2,drum_and_bass,Drum & Bass,13,0.11926605504587157
breakbeat,Breakbeat,109,53,0.48623853211009177,3,house,House,8,0.07339449541284404
uk_garage,UK Garage,90,19,0.2111111111111111,1,house,House,25,0.2777777777777778
uk_garage,UK Garage,90,19,0.2111111111111111,2,dubstep,Dubstep,18,0.2
uk_garage,UK Garage,90,19,0.2111111111111111,3,drum_and_bass,Drum & Bass,5,0.05555555555555555
hardcore,Hardcore,267,214,0.8014981273408239,1,drum_and_bass,Drum & Bass,16,0.0599250936329588
hardcore,Hardcore,267,214,0.8014981273408239,2,techno,Techno,9,0.033707865168539325
hardcore,Hardcore,267,214,0.8014981273408239,3,hardstyle,Hardstyle,7,0.026217228464419477
hardstyle,Hardstyle,112,83,0.7410714285714286,1,hardcore,Hardcore,13,0.11607142857142858
hardstyle,Hardstyle,112,83,0.7410714285714286,2,other,Other,5,0.044642857142857144
hardstyle,Hardstyle,112,83,0.7410714285714286,3,trap_edm,Trap (EDM),4,0.03571428571428571
moombahton,Moombahton,157,107,0.6815286624203821,1,house,House,13,0.08280254777070063
moombahton,Moombahton,157,107,0.6815286624203821,2,electro,Electro,11,0.07006369426751592
moombahton,Moombahton,157,107,0.6815286624203821,3,dubstep,Dubstep,8,0.050955414012738856
amapiano,Amapiano,81,50,0.6172839506172839,1,house,House,11,0.13580246913580246
amapiano,Amapiano,81,50,0.6172839506172839,2,electro,Electro,5,0.06172839506172839
amapiano,Amapiano,81,50,0.6172839506172839,3,dubstep,Dubstep,5,0.06172839506172839
nu_disco,Nu-Disco,120,65,0.5416666666666666,1,house,House,31,0.25833333333333336
nu_disco,Nu-Disco,120,65,0.5416666666666666,2,synthwave,Synthwave,13,0.10833333333333334
nu_disco,Nu-Disco,120,65,0.5416666666666666,3,trance,Trance,5,0.041666666666666664
synthwave,Synthwave,126,66,0.5238095238095238,1,dubstep,Dubstep,17,0.1349206349206349
synthwave,Synthwave,126,66,0.5238095238095238,2,midtempo,Midtempo,11,0.0873015873015873
synthwave,Synthwave,126,66,0.5238095238095238,3,house,House,7,0.05555555555555555
other,Other,161,0,0.0,1,house,House,45,0.2795031055900621
other,Other,161,0,0.0,2,trap_edm,Trap (EDM),23,0.14285714285714285
other,Other,161,0,0.0,3,dubstep,Dubstep,17,0.10559006211180125
