true_id,true_label,support,correct,accuracy,rank,confused_with_id,confused_with_label,count,fraction_of_true_class
house,House,728,461,0.6332417582417582,1,techno,Techno,56,0.07692307692307693
house,House,728,461,0.6332417582417582,2,nu_disco,Nu-Disco,40,0.054945054945054944
house,House,728,461,0.6332417582417582,3,trance,Trance,29,0.03983516483516483
techno,Techno,297,161,0.5420875420875421,1,house,House,43,0.1447811447811448
techno,Techno,297,161,0.5420875420875421,2,trance,Trance,30,0.10101010101010101
techno,Techno,297,161,0.5420875420875421,3,hardcore,Hardcore,25,0.08417508417508418
electro,Electro,176,42,0.23863636363636365,1,techno,Techno,18,0.10227272727272728
electro,Electro,176,42,0.23863636363636365,2,house,House,16,0.09090909090909091
electro,Electro,176,42,0.23863636363636365,3,trap_edm,Trap (EDM),15,0.08522727272727272
trance,Trance,440,307,0.6977272727272728,1,techno,Techno,35,0.07954545454545454
trance,Trance,440,307,0.6977272727272728,2,house,House,26,0.05909090909090909
trance,Trance,440,307,0.6977272727272728,3,breakbeat,Breakbeat,16,0.03636363636363636
drum_and_bass,Drum & Bass,489,362,0.7402862985685071,1,dubstep,Dubstep,42,0.08588957055214724
drum_and_bass,Drum & Bass,489,362,0.7402862985685071,2,hardcore,Hardcore,16,0.032719836400818
drum_and_bass,Drum & Bass,489,362,0.7402862985685071,3,techno,Techno,9,0.018404907975460124
footwork,Footwork,22,6,0.2727272727272727,1,techno,Techno,3,0.13636363636363635
footwork,Footwork,22,6,0.2727272727272727,2,electro,Electro,3,0.13636363636363635
footwork,Footwork,22,6,0.2727272727272727,3,uk_garage,UK Garage,3,0.13636363636363635
dubstep,Dubstep,296,150,0.5067567567567568,1,trap_edm,Trap (EDM),19,0.06418918918918919
dubstep,Dubstep,296,150,0.5067567567567568,2,drum_and_bass,Drum & Bass,17,0.057432432432432436
dubstep,Dubstep,296,150,0.5067567567567568,3,moombahton,Moombahton,14,0.0472972972972973
future_bass,Future Bass,54,3,0.05555555555555555,1,dubstep,Dubstep,19,0.35185185185185186
future_bass,Future Bass,54,3,0.05555555555555555,2,trap_edm,Trap (EDM),8,0.14814814814814814
future_bass,Future Bass,54,3,0.05555555555555555,3,midtempo,Midtempo,3,0.05555555555555555
trap_edm,Trap (EDM),145,52,0.3586206896551724,1,dubstep,Dubstep,26,0.1793103448275862
trap_edm,Trap (EDM),145,52,0.3586206896551724,2,drum_and_bass,Drum & Bass,11,0.07586206896551724
trap_edm,Trap (EDM),145,52,0.3586206896551724,3,amapiano,Amapiano,10,0.06896551724137931
phonk,Phonk,51,30,0.5882352941176471,1,house,House,4,0.0784313725490196
phonk,Phonk,51,30,0.5882352941176471,2,midtempo,Midtempo,4,0.0784313725490196
phonk,Phonk,51,30,0.5882352941176471,3,hardcore,Hardcore,4,0.0784313725490196
midtempo,Midtempo,101,21,0.2079207920792079,1,house,House,17,0.16831683168316833
midtempo,Midtempo,101,21,0.2079207920792079,2,dubstep,Dubstep,15,0.1485148514851485
midtempo,Midtempo,101,21,0.2079207920792079,3,trap_edm,Trap (EDM),11,0.10891089108910891
breakbeat,Breakbeat,109,31,0.28440366972477066,1,drum_and_bass,Drum & Bass,12,0.11009174311926606
breakbeat,Breakbeat,109,31,0.28440366972477066,2,house,House,9,0.08256880733944955
breakbeat,Breakbeat,109,31,0.28440366972477066,3,hardcore,Hardcore,7,0.06422018348623854
uk_garage,UK Garage,90,23,0.25555555555555554,1,house,House,17,0.18888888888888888
uk_garage,UK Garage,90,23,0.25555555555555554,2,dubstep,Dubstep,12,0.13333333333333333
uk_garage,UK Garage,90,23,0.25555555555555554,3,amapiano,Amapiano,7,0.07777777777777778
hardcore,Hardcore,267,184,0.6891385767790262,1,drum_and_bass,Drum & Bass,25,0.09363295880149813
hardcore,Hardcore,267,184,0.6891385767790262,2,hardstyle,Hardstyle,18,0.06741573033707865
hardcore,Hardcore,267,184,0.6891385767790262,3,techno,Techno,14,0.052434456928838954
hardstyle,Hardstyle,112,73,0.6517857142857143,1,hardcore,Hardcore,23,0.20535714285714285
hardstyle,Hardstyle,112,73,0.6517857142857143,2,trap_edm,Trap (EDM),4,0.03571428571428571
hardstyle,Hardstyle,112,73,0.6517857142857143,3,techno,Techno,3,0.026785714285714284
moombahton,Moombahton,157,77,0.49044585987261147,1,amapiano,Amapiano,19,0.12101910828025478
moombahton,Moombahton,157,77,0.49044585987261147,2,electro,Electro,13,0.08280254777070063
moombahton,Moombahton,157,77,0.49044585987261147,3,house,House,12,0.07643312101910828
amapiano,Amapiano,81,47,0.5802469135802469,1,house,House,13,0.16049382716049382
amapiano,Amapiano,81,47,0.5802469135802469,2,electro,Electro,4,0.04938271604938271
amapiano,Amapiano,81,47,0.5802469135802469,3,moombahton,Moombahton,4,0.04938271604938271
nu_disco,Nu-Disco,120,43,0.35833333333333334,1,house,House,40,0.3333333333333333
nu_disco,Nu-Disco,120,43,0.35833333333333334,2,synthwave,Synthwave,14,0.11666666666666667
nu_disco,Nu-Disco,120,43,0.35833333333333334,3,electro,Electro,6,0.05
synthwave,Synthwave,126,65,0.5158730158730159,1,dubstep,Dubstep,13,0.10317460317460317
synthwave,Synthwave,126,65,0.5158730158730159,2,midtempo,Midtempo,11,0.0873015873015873
synthwave,Synthwave,126,65,0.5158730158730159,3,house,House,5,0.03968253968253968
