true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave
house,House,431,42,14,26,7,4,18,2,14,8,8,15,21,5,10,30,26,34,13
techno,Techno,35,158,4,32,4,1,7,0,1,3,2,7,5,22,6,0,3,3,4
electro,Electro,17,12,46,8,0,3,7,8,15,3,1,12,9,6,2,5,7,10,5
trance,Trance,28,18,3,318,7,0,8,1,1,3,1,17,0,14,3,1,0,6,11
drum_and_bass,Drum & Bass,5,7,3,3,363,5,42,3,9,2,3,7,4,16,6,3,5,0,3
footwork,Footwork,1,1,2,1,1,9,2,0,0,0,0,0,1,1,0,1,1,0,1
dubstep,Dubstep,9,3,12,4,15,0,164,5,27,5,5,5,4,2,11,13,8,1,3
future_bass,Future Bass,1,0,1,0,4,0,21,4,12,3,0,2,1,1,0,1,0,1,2
trap_edm,Trap (EDM),2,1,3,2,9,1,35,2,65,6,4,5,2,1,1,3,2,0,1
phonk,Phonk,1,0,1,1,0,0,2,0,3,38,1,0,0,1,2,1,0,0,0
midtempo,Midtempo,6,0,0,1,13,2,22,2,13,5,13,2,1,2,2,11,1,0,5
breakbeat,Breakbeat,8,2,6,1,11,1,7,2,6,2,1,37,2,8,0,4,5,1,5
uk_garage,UK Garage,15,1,2,2,7,4,10,2,5,1,0,2,26,0,0,1,8,2,2
hardcore,Hardcore,0,7,0,6,20,0,5,1,6,1,1,4,0,193,21,0,1,0,1
hardstyle,Hardstyle,0,0,0,4,2,1,2,0,3,1,0,1,0,21,77,0,0,0,0
moombahton,Moombahton,5,3,13,3,4,2,6,3,6,3,2,0,6,4,1,80,16,0,0
amapiano,Amapiano,9,0,2,0,0,0,2,2,4,0,0,0,3,0,0,3,49,6,1
nu_disco,Nu-Disco,27,0,6,6,0,0,2,0,1,0,0,3,0,1,0,3,1,57,13
synthwave,Synthwave,3,2,3,4,5,1,15,1,2,1,7,4,1,0,0,1,3,5,68
