true_id,true_label,support,correct,accuracy,rank,confused_with_id,confused_with_label,count,fraction_of_true_class
house,House,728,431,0.592032967032967,1,techno,Techno,42,0.057692307692307696
house,House,728,431,0.592032967032967,2,nu_disco,Nu-Disco,34,0.046703296703296704
house,House,728,431,0.592032967032967,3,moombahton,Moombahton,30,0.04120879120879121
techno,Techno,297,158,0.531986531986532,1,house,House,35,0.11784511784511785
techno,Techno,297,158,0.531986531986532,2,trance,Trance,32,0.10774410774410774
techno,Techno,297,158,0.531986531986532,3,hardcore,Hardcore,22,0.07407407407407407
electro,Electro,176,46,0.26136363636363635,1,house,House,17,0.09659090909090909
electro,Electro,176,46,0.26136363636363635,2,trap_edm,Trap (EDM),15,0.08522727272727272
electro,Electro,176,46,0.26136363636363635,3,techno,Techno,12,0.06818181818181818
trance,Trance,440,318,0.7227272727272728,1,house,House,28,0.06363636363636363
trance,Trance,440,318,0.7227272727272728,2,techno,Techno,18,0.04090909090909091
trance,Trance,440,318,0.7227272727272728,3,breakbeat,Breakbeat,17,0.038636363636363635
drum_and_bass,Drum & Bass,489,363,0.7423312883435583,1,dubstep,Dubstep,42,0.08588957055214724
drum_and_bass,Drum & Bass,489,363,0.7423312883435583,2,hardcore,Hardcore,16,0.032719836400818
drum_and_bass,Drum & Bass,489,363,0.7423312883435583,3,trap_edm,Trap (EDM),9,0.018404907975460124
footwork,Footwork,22,9,0.4090909090909091,1,electro,Electro,2,0.09090909090909091
footwork,Footwork,22,9,0.4090909090909091,2,dubstep,Dubstep,2,0.09090909090909091
footwork,Footwork,22,9,0.4090909090909091,3,house,House,1,0.045454545454545456
dubstep,Dubstep,296,164,0.5540540540540541,1,trap_edm,Trap (EDM),27,0.09121621621621621
dubstep,Dubstep,296,164,0.5540540540540541,2,drum_and_bass,Drum & Bass,15,0.05067567567567568
dubstep,Dubstep,296,164,0.5540540540540541,3,moombahton,Moombahton,13,0.04391891891891892
future_bass,Future Bass,54,4,0.07407407407407407,1,dubstep,Dubstep,21,0.3888888888888889
future_bass,Future Bass,54,4,0.07407407407407407,2,trap_edm,Trap (EDM),12,0.2222222222222222
future_bass,Future Bass,54,4,0.07407407407407407,3,drum_and_bass,Drum & Bass,4,0.07407407407407407
trap_edm,Trap (EDM),145,65,0.4482758620689655,1,dubstep,Dubstep,35,0.2413793103448276
trap_edm,Trap (EDM),145,65,0.4482758620689655,2,drum_and_bass,Drum & Bass,9,0.06206896551724138
trap_edm,Trap (EDM),145,65,0.4482758620689655,3,phonk,Phonk,6,0.041379310344827586
phonk,Phonk,51,38,0.7450980392156863,1,trap_edm,Trap (EDM),3,0.058823529411764705
phonk,Phonk,51,38,0.7450980392156863,2,dubstep,Dubstep,2,0.0392156862745098
phonk,Phonk,51,38,0.7450980392156863,3,hardstyle,Hardstyle,2,0.0392156862745098
midtempo,Midtempo,101,13,0.12871287128712872,1,dubstep,Dubstep,22,0.21782178217821782
midtempo,Midtempo,101,13,0.12871287128712872,2,drum_and_bass,Drum & Bass,13,0.12871287128712872
midtempo,Midtempo,101,13,0.12871287128712872,3,trap_edm,Trap (EDM),13,0.12871287128712872
breakbeat,Breakbeat,109,37,0.3394495412844037,1,drum_and_bass,Drum & Bass,11,0.10091743119266056
breakbeat,Breakbeat,109,37,0.3394495412844037,2,house,House,8,0.07339449541284404
breakbeat,Breakbeat,109,37,0.3394495412844037,3,hardcore,Hardcore,8,0.07339449541284404
uk_garage,UK Garage,90,26,0.28888888888888886,1,house,House,15,0.16666666666666666
uk_garage,UK Garage,90,26,0.28888888888888886,2,dubstep,Dubstep,10,0.1111111111111111
uk_garage,UK Garage,90,26,0.28888888888888886,3,amapiano,Amapiano,8,0.08888888888888889
hardcore,Hardcore,267,193,0.7228464419475655,1,hardstyle,Hardstyle,21,0.07865168539325842
hardcore,Hardcore,267,193,0.7228464419475655,2,drum_and_bass,Drum & Bass,20,0.0749063670411985
hardcore,Hardcore,267,193,0.7228464419475655,3,techno,Techno,7,0.026217228464419477
hardstyle,Hardstyle,112,77,0.6875,1,hardcore,Hardcore,21,0.1875
hardstyle,Hardstyle,112,77,0.6875,2,trance,Trance,4,0.03571428571428571
hardstyle,Hardstyle,112,77,0.6875,3,trap_edm,Trap (EDM),3,0.026785714285714284
moombahton,Moombahton,157,80,0.5095541401273885,1,amapiano,Amapiano,16,0.10191082802547771
moombahton,Moombahton,157,80,0.5095541401273885,2,electro,Electro,13,0.08280254777070063
moombahton,Moombahton,157,80,0.5095541401273885,3,dubstep,Dubstep,6,0.03821656050955414
amapiano,Amapiano,81,49,0.6049382716049383,1,house,House,9,0.1111111111111111
amapiano,Amapiano,81,49,0.6049382716049383,2,nu_disco,Nu-Disco,6,0.07407407407407407
amapiano,Amapiano,81,49,0.6049382716049383,3,trap_edm,Trap (EDM),4,0.04938271604938271
nu_disco,Nu-Disco,120,57,0.475,1,house,House,27,0.225
nu_disco,Nu-Disco,120,57,0.475,2,synthwave,Synthwave,13,0.10833333333333334
nu_disco,Nu-Disco,120,57,0.475,3,electro,Electro,6,0.05
synthwave,Synthwave,126,68,0.5396825396825397,1,dubstep,Dubstep,15,0.11904761904761904
synthwave,Synthwave,126,68,0.5396825396825397,2,midtempo,Midtempo,7,0.05555555555555555
synthwave,Synthwave,126,68,0.5396825396825397,3,drum_and_bass,Drum & Bass,5,0.03968253968253968
