true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave
house,House,438,51,18,36,5,5,21,1,10,4,8,8,26,4,4,29,15,34,11
techno,Techno,46,170,2,25,6,3,4,1,0,0,2,6,9,14,3,1,0,3,2
electro,Electro,20,13,55,7,1,1,8,4,13,0,3,6,16,4,0,6,4,12,3
trance,Trance,24,24,8,322,5,0,5,1,1,2,2,16,1,5,2,1,2,11,8
drum_and_bass,Drum & Bass,7,11,3,5,366,6,30,4,10,0,1,7,4,13,3,11,4,2,2
footwork,Footwork,2,1,4,1,2,6,0,0,0,0,0,0,2,2,0,1,1,0,0
dubstep,Dubstep,15,4,17,6,22,2,128,12,37,2,2,6,7,3,12,13,2,3,3
future_bass,Future Bass,1,0,1,0,2,0,19,9,9,0,0,2,1,2,0,3,0,2,3
trap_edm,Trap (EDM),7,0,5,1,11,0,21,4,64,6,8,6,1,1,3,4,2,1,0
phonk,Phonk,5,0,2,0,1,0,0,1,4,32,1,1,0,3,0,0,0,0,1
midtempo,Midtempo,14,1,3,2,15,1,16,2,13,3,9,1,1,2,2,11,0,1,4
breakbeat,Breakbeat,9,3,10,3,12,1,5,1,5,1,1,34,3,8,0,5,1,4,3
uk_garage,UK Garage,17,3,6,3,7,4,9,0,2,1,0,1,24,0,1,1,3,5,3
hardcore,Hardcore,0,11,2,8,20,1,3,3,3,0,0,2,2,197,13,1,1,0,0
hardstyle,Hardstyle,1,0,0,3,4,1,1,0,4,0,0,0,1,33,64,0,0,0,0
moombahton,Moombahton,12,5,13,3,3,2,5,1,7,2,1,1,2,2,1,89,7,1,0
amapiano,Amapiano,15,0,5,0,3,0,1,3,2,0,0,0,1,0,0,6,38,6,1
nu_disco,Nu-Disco,31,0,3,5,0,0,1,0,0,0,0,0,1,1,0,5,0,62,11
synthwave,Synthwave,6,9,1,10,11,0,9,2,1,0,6,4,1,4,0,1,2,8,51
