true_id,true_label,support,correct,accuracy,rank,confused_with_id,confused_with_label,count,fraction_of_true_class
house,House,728,438,0.6016483516483516,1,techno,Techno,51,0.07005494505494506
house,House,728,438,0.6016483516483516,2,trance,Trance,36,0.04945054945054945
house,House,728,438,0.6016483516483516,3,nu_disco,Nu-Disco,34,0.046703296703296704
techno,Techno,297,170,0.5723905723905723,1,house,House,46,0.15488215488215487
techno,Techno,297,170,0.5723905723905723,2,trance,Trance,25,0.08417508417508418
techno,Techno,297,170,0.5723905723905723,3,hardcore,Hardcore,14,0.04713804713804714
electro,Electro,176,55,0.3125,1,house,House,20,0.11363636363636363
electro,Electro,176,55,0.3125,2,uk_garage,UK Garage,16,0.09090909090909091
electro,Electro,176,55,0.3125,3,techno,Techno,13,0.07386363636363637
trance,Trance,440,322,0.7318181818181818,1,house,House,24,0.05454545454545454
trance,Trance,440,322,0.7318181818181818,2,techno,Techno,24,0.05454545454545454
trance,Trance,440,322,0.7318181818181818,3,breakbeat,Breakbeat,16,0.03636363636363636
drum_and_bass,Drum & Bass,489,366,0.7484662576687117,1,dubstep,Dubstep,30,0.06134969325153374
drum_and_bass,Drum & Bass,489,366,0.7484662576687117,2,hardcore,Hardcore,13,0.026584867075664622
drum_and_bass,Drum & Bass,489,366,0.7484662576687117,3,techno,Techno,11,0.022494887525562373
footwork,Footwork,22,6,0.2727272727272727,1,electro,Electro,4,0.18181818181818182
footwork,Footwork,22,6,0.2727272727272727,2,house,House,2,0.09090909090909091
footwork,Footwork,22,6,0.2727272727272727,3,drum_and_bass,Drum & Bass,2,0.09090909090909091
dubstep,Dubstep,296,128,0.43243243243243246,1,trap_edm,Trap (EDM),37,0.125
dubstep,Dubstep,296,128,0.43243243243243246,2,drum_and_bass,Drum & Bass,22,0.07432432432432433
dubstep,Dubstep,296,128,0.43243243243243246,3,electro,Electro,17,0.057432432432432436
future_bass,Future Bass,54,9,0.16666666666666666,1,dubstep,Dubstep,19,0.35185185185185186
future_bass,Future Bass,54,9,0.16666666666666666,2,trap_edm,Trap (EDM),9,0.16666666666666666
future_bass,Future Bass,54,9,0.16666666666666666,3,moombahton,Moombahton,3,0.05555555555555555
trap_edm,Trap (EDM),145,64,0.4413793103448276,1,dubstep,Dubstep,21,0.14482758620689656
trap_edm,Trap (EDM),145,64,0.4413793103448276,2,drum_and_bass,Drum & Bass,11,0.07586206896551724
trap_edm,Trap (EDM),145,64,0.4413793103448276,3,midtempo,Midtempo,8,0.05517241379310345
phonk,Phonk,51,32,0.6274509803921569,1,house,House,5,0.09803921568627451
phonk,Phonk,51,32,0.6274509803921569,2,trap_edm,Trap (EDM),4,0.0784313725490196
phonk,Phonk,51,32,0.6274509803921569,3,hardcore,Hardcore,3,0.058823529411764705
midtempo,Midtempo,101,9,0.0891089108910891,1,dubstep,Dubstep,16,0.15841584158415842
midtempo,Midtempo,101,9,0.0891089108910891,2,drum_and_bass,Drum & Bass,15,0.1485148514851485
midtempo,Midtempo,101,9,0.0891089108910891,3,house,House,14,0.13861386138613863
breakbeat,Breakbeat,109,34,0.3119266055045872,1,drum_and_bass,Drum & Bass,12,0.11009174311926606
breakbeat,Breakbeat,109,34,0.3119266055045872,2,electro,Electro,10,0.09174311926605505
breakbeat,Breakbeat,109,34,0.3119266055045872,3,house,House,9,0.08256880733944955
uk_garage,UK Garage,90,24,0.26666666666666666,1,house,House,17,0.18888888888888888
uk_garage,UK Garage,90,24,0.26666666666666666,2,dubstep,Dubstep,9,0.1
uk_garage,UK Garage,90,24,0.26666666666666666,3,drum_and_bass,Drum & Bass,7,0.07777777777777778
hardcore,Hardcore,267,197,0.7378277153558053,1,drum_and_bass,Drum & Bass,20,0.0749063670411985
hardcore,Hardcore,267,197,0.7378277153558053,2,hardstyle,Hardstyle,13,0.04868913857677903
hardcore,Hardcore,267,197,0.7378277153558053,3,techno,Techno,11,0.04119850187265917
hardstyle,Hardstyle,112,64,0.5714285714285714,1,hardcore,Hardcore,33,0.29464285714285715
hardstyle,Hardstyle,112,64,0.5714285714285714,2,drum_and_bass,Drum & Bass,4,0.03571428571428571
hardstyle,Hardstyle,112,64,0.5714285714285714,3,trap_edm,Trap (EDM),4,0.03571428571428571
moombahton,Moombahton,157,89,0.5668789808917197,1,electro,Electro,13,0.08280254777070063
moombahton,Moombahton,157,89,0.5668789808917197,2,house,House,12,0.07643312101910828
moombahton,Moombahton,157,89,0.5668789808917197,3,trap_edm,Trap (EDM),7,0.044585987261146494
amapiano,Amapiano,81,38,0.4691358024691358,1,house,House,15,0.18518518518518517
amapiano,Amapiano,81,38,0.4691358024691358,2,moombahton,Moombahton,6,0.07407407407407407
amapiano,Amapiano,81,38,0.4691358024691358,3,nu_disco,Nu-Disco,6,0.07407407407407407
nu_disco,Nu-Disco,120,62,0.5166666666666667,1,house,House,31,0.25833333333333336
nu_disco,Nu-Disco,120,62,0.5166666666666667,2,synthwave,Synthwave,11,0.09166666666666666
nu_disco,Nu-Disco,120,62,0.5166666666666667,3,trance,Trance,5,0.041666666666666664
synthwave,Synthwave,126,51,0.40476190476190477,1,drum_and_bass,Drum & Bass,11,0.0873015873015873
synthwave,Synthwave,126,51,0.40476190476190477,2,trance,Trance,10,0.07936507936507936
synthwave,Synthwave,126,51,0.40476190476190477,3,techno,Techno,9,0.07142857142857142
