index,id,label,regular_train,regular_validation,regular_test,artist_train,artist_validation,artist_test
0,house,House,2769,654,597,2436,799,785
1,techno,Techno,1091,330,286,1022,347,338
2,electro,Electro,532,220,219,571,212,188
3,trance,Trance,1885,391,246,1606,457,459
4,drum_and_bass,Drum & Bass,1257,347,325,985,436,508
5,footwork,Footwork,89,39,38,108,33,25
6,dubstep,Dubstep,770,277,292,673,332,334
7,future_bass,Future Bass,143,56,56,109,75,71
8,trap_edm,Trap (EDM),411,113,102,297,166,163
9,phonk,Phonk,268,31,26,209,62,54
10,midtempo,Midtempo,173,75,75,144,76,103
11,breakbeat,Breakbeat,419,138,78,356,149,130
12,uk_garage,UK Garage,310,131,137,349,119,110
13,hardcore,Hardcore,771,282,290,769,284,290
14,hardstyle,Hardstyle,347,110,86,285,130,128
15,moombahton,Moombahton,296,101,74,216,92,163
16,amapiano,Amapiano,251,90,91,256,92,84
17,nu_disco,Nu-Disco,718,180,78,726,127,123
18,synthwave,Synthwave,336,136,139,348,136,127
