id,label,parent,depth,is_leaf,regular_train_direct,artist_train_direct,regular_train_expanded,artist_train_expanded,minimum_expanded_train,active_v1
house,House,,0,False,170,136,963,947,947,True
chicago_house,Chicago House,house,1,True,18,17,18,17,17,True
deep_house,Deep House,house,1,True,27,25,27,25,25,True
tech_house,Tech House,house,1,True,28,35,28,35,28,True
progressive_house,Progressive House,house,1,True,27,34,27,34,27,True
acid_house,Acid House,house,1,True,19,26,19,26,19,True
electro_house,Electro House,house,1,True,29,22,29,22,22,True
funky_house,Funky House,house,1,True,24,25,24,25,24,True
french_house,French House,house,1,True,26,39,26,39,26,True
disco_house,Disco House,house,1,True,27,40,27,40,27,True
soulful_house,Soulful House,house,1,True,19,28,19,28,19,True
garage_house,Garage House,house,1,True,32,34,32,34,32,True
future_house,Future House,house,1,True,37,33,37,33,33,True
bass_house,Bass House,house,1,True,31,21,31,21,21,True
g_house,G-House,house,1,True,25,25,25,25,25,True
big_room_house,Big Room House,house,1,True,27,24,27,24,24,True
tropical_house,Tropical House,house,1,True,26,22,26,22,22,True
slap_house,Slap House,house,1,True,35,35,35,35,35,True
brazilian_bass,Brazilian Bass,house,1,True,32,29,32,29,29,True
microhouse,Microhouse,house,1,True,23,30,23,30,23,True
hard_house,Hard House,house,1,True,19,26,19,26,19,True
italo_house,Italo House,house,1,True,21,26,21,26,21,True
latin_house,Latin House,house,1,True,29,24,29,24,24,True
ghetto_house,Ghetto House,house,1,True,19,24,19,24,19,True
jackin_house,Jackin' House,house,1,True,2,0,2,0,0,False
outsider_house,Outsider House,house,1,True,50,38,50,38,38,True
lo_fi_house,Lo-Fi House,house,1,True,30,40,30,40,30,True
afro_house,Afro House,house,1,True,28,37,28,37,28,True
afro_tech,Afro-Tech,house,1,True,3,3,3,3,3,False
organic_house,Organic House,house,1,True,27,35,27,35,27,True
melodic_house,Melodic House,house,1,True,34,33,34,33,33,True
tribal_house,Tribal House,house,1,True,19,26,19,26,19,True
techno,Techno,,0,False,90,77,455,421,421,True
detroit_techno,Detroit Techno,techno,1,True,23,32,23,32,23,True
minimal_techno,Minimal Techno,techno,1,True,24,28,24,28,24,True
industrial_techno,Industrial Techno,techno,1,True,34,21,34,21,21,True
acid_techno,Acid Techno,techno,1,True,28,34,28,34,28,True
dub_techno,Dub Techno,techno,1,True,30,32,30,32,30,True
hard_techno,Hard Techno,techno,1,True,36,32,36,32,32,True
schranz,Schranz,techno,1,True,19,20,19,20,19,True
birmingham_techno,Birmingham Techno,techno,1,True,2,0,2,0,0,False
peak_time_techno,Peak Time Techno,techno,1,True,23,19,23,19,19,True
raw_techno,Raw Techno,techno,1,True,14,12,14,12,12,False
hypnotic_techno,Hypnotic Techno,techno,1,True,11,13,11,13,11,False
bleep_techno,Bleep Techno,techno,1,True,0,0,0,0,0,False
tribal_techno,Tribal Techno,techno,1,True,20,27,20,27,20,True
ambient_techno,Ambient Techno,techno,1,True,49,33,49,33,33,True
broken_techno,Broken Techno,techno,1,True,15,16,15,16,15,True
melodic_techno,Melodic Techno,techno,1,True,37,38,37,38,37,True
electro,Electro,,0,False,63,54,252,275,252,True
electrofunk,Electrofunk,electro,1,True,24,33,24,33,24,True
detroit_electro,Detroit Electro,electro,1,True,35,57,35,57,35,True
miami_bass,Miami Bass,electro,1,True,34,29,34,29,29,True
electroclash,Electroclash,electro,1,True,33,26,33,26,26,True
baile_funk,Baile Funk,electro,1,True,29,38,29,38,29,True
kuduro,Kuduro,electro,1,True,18,20,18,20,18,True
skweee,Skweee,electro,1,True,16,18,16,18,16,True
trance,Trance,,0,False,84,72,413,454,413,True
uplifting_trance,Uplifting Trance,trance,1,True,16,18,16,18,16,True
progressive_trance,Progressive Trance,trance,1,True,18,20,18,20,18,True
vocal_trance,Vocal Trance,trance,1,True,19,19,19,19,19,True
tech_trance,Tech Trance,trance,1,True,23,28,23,28,23,True
hard_trance,Hard Trance,trance,1,True,19,23,19,23,19,True
acid_trance,Acid Trance,trance,1,True,19,26,19,26,19,True
dream_trance,Dream Trance,trance,1,True,17,21,17,21,17,True
balearic_trance,Balearic Trance,trance,1,True,16,19,16,19,16,True
orchestral_uplifting,Orchestral Uplifting,trance,1,True,0,0,0,0,0,False
psytrance,Psytrance,trance,1,True,24,27,24,27,24,True
goa_trance,Goa Trance,trance,1,True,22,29,22,29,22,True
full_on_psytrance,Full-On Psytrance,trance,1,True,30,41,30,41,30,True
forest_dark_psytrance,Forest/Dark Psytrance,trance,1,True,19,24,19,24,19,True
hi_tech_psytrance,Hi-Tech Psytrance,trance,1,True,4,2,4,2,2,False
twilight_psytrance,Twilight Psytrance,trance,1,True,5,4,5,4,4,False
